MS SubClass,MS Zoning,Lot Frontage,Lot Area,Alley,Lot Shape,Land Contour,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice,House Age,Years Since Remodel
60,RL,75.0,10000.0,None,3,Lvl,Corner,3,Gilbert,Norm,Norm,1Fam,2Story,6,5,1993.0,1994,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,PConc,4,3,1,1,0.0,1,0.0,763.0,763.0,GasA,4,1,SBrkr,763.0,892.0,0,1655.0,0.0,0.0,2,1,3,1,3,7,8,1,3,Attchd,1993.0,3,2.0,440.0,3,3,2,157,84,0,0,0,0,0,None,None,0,4,2010,WD,Normal,175900,17.0,16
20,RL,64.0,7980.0,None,3,Lvl,Inside,3,Gilbert,Norm,Norm,1Fam,1Story,6,7,1992.0,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,4,PConc,4,3,1,5,935.0,1,0.0,233.0,1168.0,GasA,5,1,SBrkr,1187.0,0.0,0,1187.0,1.0,0.0,2,0,3,1,3,6,8,0,0,Attchd,1992.0,3,2.0,420.0,3,3,2,420,21,0,0,0,0,0,GdPrv,Shed,0,3,2010,WD,Normal,185000,18.0,3
60,RL,63.0,8402.0,None,3,Lvl,Inside,3,Gilbert,Norm,Norm,1Fam,2Story,6,5,1998.0,1998,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,PConc,4,3,1,1,0.0,1,0.0,789.0,789.0,GasA,4,1,SBrkr,789.0,676.0,0,1465.0,0.0,0.0,2,1,3,1,3,7,8,1,4,Attchd,1998.0,3,2.0,393.0,3,3,2,0,75,0,0,0,0,0,None,None,0,5,2010,WD,Normal,180400,12.0,12
20,RL,85.0,10176.0,None,4,Lvl,Inside,3,Gilbert,Norm,Norm,1Fam,1Story,7,5,1990.0,1990,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,PConc,4,3,4,6,637.0,1,0.0,663.0,1300.0,GasA,4,1,SBrkr,1341.0,0.0,0,1341.0,1.0,0.0,1,1,2,1,4,5,8,1,1,Attchd,1990.0,1,2.0,506.0,3,3,2,192,0,0,0,0,0,0,None,None,0,2,2010,WD,Normal,171500,20.0,20
120,RL,60.0,6820.0,None,3,Lvl,Corner,3,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1985.0,1985,Gable,CompShg,HdBoard,HdBoard,None,0.0,4,3,PConc,4,3,3,6,368.0,4,0.0,0.0,1488.0,GasA,3,1,SBrkr,1502.0,0.0,0,1502.0,1.0,0.0,1,1,1,1,4,4,8,0,0,Attchd,1985.0,2,2.0,528.0,3,3,2,0,54,0,0,0,0,0,None,None,0,6,2010,WD,Normal,212000,25.0,25
60,RL,47.0,17727.75,None,2,HLS,CulDSac,2,StoneBr,Norm,Norm,1Fam,2Story,8,5,2003.0,2003,Hip,CompShg,CemntBd,Wd Shng,BrkFace,406.875,5,3,PConc,4,3,4,5,1416.0,1,0.0,234.0,1650.0,GasA,5,1,SBrkr,1690.0,1589.0,0,2667.875,1.0,0.0,3,1,4,1,5,12,5,1,4,BuiltIn,2003.0,3,3.0,841.0,3,3,2,420,36,0,0,0,0,0,None,None,0,6,2010,WD,Normal,538000,7.0,7
50,RL,110.0,12134.0,None,3,Bnk,Inside,2,Gilbert,Norm,Norm,1Fam,1.5Fin,8,7,1988.0,2005,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,4,3,Wood,4,3,3,6,427.0,1,0.0,132.0,559.0,GasA,4,1,SBrkr,1080.0,672.0,0,1752.0,0.0,0.0,2,0,4,1,3,8,8,0,0,Basment,1988.0,2,2.0,492.0,3,3,2,325,12,0,0,0,0,0,None,None,0,6,2010,WD,Normal,164000,22.0,5
20,RL,88.0,11394.0,None,4,Lvl,Corner,3,StoneBr,Norm,Norm,1Fam,1Story,9,2,2010.0,2010,Hip,CompShg,VinylSd,VinylSd,Stone,350.0,4,3,PConc,5,3,3,6,1445.0,1,0.0,411.0,1856.0,GasA,5,1,SBrkr,1856.0,0.0,0,1856.0,1.0,0.0,1,1,1,1,5,8,8,1,5,Attchd,2010.0,3,3.0,834.0,3,3,2,113,0,0,0,0,0,0,None,None,0,6,2010,New,Partial,394432,0.0,0
20,RL,110.0,17727.75,None,4,Lvl,Corner,3,Gilbert,Norm,Norm,1Fam,1Story,4,5,1951.0,1951,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,3,3,1,2,120.0,1,0.0,744.0,864.0,GasA,5,1,SBrkr,864.0,0.0,0,864.0,0.0,0.0,1,0,2,1,3,4,8,0,0,Detchd,1951.0,1,2.0,400.0,3,3,2,0,0,0,0,0,0,0,None,None,0,6,2010,WD,Normal,141000,59.0,59
20,RL,85.0,13175.0,None,4,Lvl,Inside,3,NWAmes,Norm,Norm,1Fam,1Story,6,6,1978.0,1988,Gable,CompShg,Plywood,Plywood,Stone,119.0,3,3,CBlock,4,3,1,5,790.0,3,0.0,589.0,1542.0,GasA,3,1,SBrkr,2073.0,0.0,0,2073.0,1.0,0.0,2,0,3,1,3,7,7,2,3,Attchd,1978.0,1,2.0,500.0,3,3,2,349,0,0,0,0,0,0,MnPrv,None,0,2,2010,WD,Normal,210000,32.0,22
20,RL,105.0,11751.0,None,3,Lvl,Inside,3,NWAmes,Norm,Norm,1Fam,1Story,6,6,1977.0,1977,Hip,CompShg,Plywood,Plywood,BrkFace,406.875,3,3,CBlock,4,3,1,4,705.0,1,0.0,1139.0,1844.0,GasA,5,1,SBrkr,1844.0,0.0,0,1844.0,0.0,0.0,2,0,3,1,3,7,8,1,3,Attchd,1977.0,2,2.0,546.0,3,3,2,0,122,0,0,0,0,0,MnPrv,None,0,1,2010,COD,Normal,190000,33.0,33
85,RL,85.0,10625.0,None,4,Lvl,Inside,3,NWAmes,Norm,Norm,1Fam,SFoyer,7,6,1974.0,1974,Gable,CompShg,Plywood,Plywood,BrkFace,81.0,3,3,CBlock,4,3,4,6,885.0,2,0.0,0.0,1053.0,GasA,3,1,SBrkr,1173.0,0.0,0,1173.0,1.0,0.0,2,0,3,1,4,6,8,2,3,Attchd,1974.0,2,2.0,528.0,3,3,2,0,120,0,0,0,0,0,MnPrv,None,0,1,2010,WD,Family,170000,36.0,36
60,FV,72.5,7500.0,None,4,Lvl,Inside,3,Somerst,Norm,Norm,1Fam,2Story,7,5,2000.0,2000,Gable,CompShg,VinylSd,VinylSd,None,0.0,4,3,PConc,4,3,1,6,533.0,1,0.0,281.0,814.0,GasA,5,1,SBrkr,814.0,860.0,0,1674.0,1.0,0.0,2,1,3,1,4,7,8,0,0,Attchd,2000.0,2,2.0,663.0,3,3,2,0,96,0,0,0,0,0,None,None,0,1,2010,WD,Normal,216000,10.0,10
20,RL,73.0,11241.0,None,3,Lvl,CulDSac,3,NAmes,Norm,Norm,1Fam,1Story,6,7,1970.0,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,3,3,CBlock,3,3,1,5,578.0,1,0.0,426.0,1004.0,GasA,5,1,SBrkr,1004.0,0.0,0,1004.0,1.0,0.0,1,0,2,1,3,5,8,1,3,Attchd,1970.0,3,2.0,480.0,3,3,2,0,0,0,0,0,0,0,None,Shed,0,3,2010,WD,Normal,149000,40.0,40
20,RL,73.0,12537.0,None,3,Lvl,CulDSac,3,NAmes,Norm,Norm,1Fam,1Story,5,6,1971.0,2008,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,3,3,1,6,734.0,1,0.0,344.0,1078.0,GasA,5,1,SBrkr,1078.0,0.0,0,1078.0,1.0,0.0,1,1,3,1,3,6,8,1,2,Attchd,1971.0,3,2.0,500.0,3,3,2,0,0,0,0,0,0,0,None,None,0,4,2010,WD,Normal,149900,39.0,2
20,RL,65.0,8450.0,None,4,Lvl,Inside,3,NAmes,Norm,Norm,1Fam,1Story,5,6,1968.0,1968,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,CBlock,3,3,1,4,775.0,1,0.0,281.0,1056.0,GasA,5,1,SBrkr,1056.0,0.0,0,1056.0,1.0,0.0,1,0,3,1,3,6,8,1,2,Attchd,1968.0,1,1.0,304.0,3,3,2,0,85,0,0,0,0,0,None,None,0,7,2010,WD,Normal,142000,42.0,42
20,RL,70.0,8400.0,None,4,Lvl,Corner,3,NAmes,Norm,Norm,1Fam,1Story,4,5,1970.0,1970,Gable,CompShg,Plywood,Plywood,None,0.0,3,3,CBlock,3,3,1,5,804.0,3,0.0,0.0,882.0,GasA,3,1,SBrkr,882.0,0.0,0,882.0,1.0,0.0,1,0,2,1,3,4,8,0,0,Attchd,1970.0,3,2.0,525.0,3,3,2,240,0,0,0,0,0,0,MnPrv,None,0,4,2010,WD,Normal,126000,40.0,40
20,RL,70.0,10500.0,None,4,Lvl,FR2,3,NAmes,Norm,Norm,1Fam,1Story,4,5,1971.0,1971,Gable,CompShg,HdBoard,HdBoard,None,0.0,3,3,CBlock,3,3,1,5,432.0,1,0.0,432.0,864.0,GasA,3,1,SBrkr,864.0,0.0,0,864.0,0.0,0.0,1,0,3,1,3,5,8,1,1,None,1971.0,0,0.0,0.0,0,0,2,0,0,0,0,0,0,0,None,None,0,4,2010,ConLI,Normal,115000,39.0,39
120,RH,30.0,5858.0,None,3,Lvl,FR2,3,NAmes,Norm,Norm,TwnhsE,1Story,7,5,1999.0,1999,Gable,CompShg,MetalSd,MetalSd,None,0.0,4,3,PConc,4,3,1,6,1051.0,4,0.0,354.0,1405.0,GasA,5,1,SBrkr,1337.0,0.0,0,1337.0,1.0,0.0,2,0,2,1,4,5,8,1,2,Attchd,1999.0,3,2.0,511.0,3,3,2,203,68,0,0,0,0,0,None,None,0,6,2010,WD,Normal,184000,11.0,11
160,RM,30.0,1680.0,None,4,Lvl,Inside,3,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971.0,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,406.875,3,3,CBlock,3,3,1,3,156.0,1,0.0,327.0,483.0,GasA,3,1,SBrkr,483.0,504.0,0,987.0,0.0,0.0,1,1,2,1,3,5,8,0,0,Detchd,1971.0,1,1.0,264.0,3,3,2,275,0,0,0,0,0,0,None,None,0,2,2010,COD,Normal,96000,39.0,39
160,RM,30.0,1680.0,None,4,Lvl,Inside,3,BrDale,Norm,Norm,Twnhs,2Story,5,5,1971.0,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,406.875,3,3,CBlock,3,3,1,3,300.0,1,0.0,225.0,525.0,GasA,3,1,SBrkr,525.0,567.0,0,1092.0,0.0,0.0,1,1,3,1,3,6,8,0,0,Detchd,1997.0,1,1.0,320.0,3,3,2,0,0,0,0,0,0,0,None,None,0,3,2010,WD,Normal,105500,39.0,39
160,RM,30.0,1680.0,None,4,Lvl,Inside,3,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971.0,1971,Gable,CompShg,HdBoard,ImStucc,BrkFace,381.0,3,3,CBlock,3,3,1,1,0.0,1,0.0,525.0,525.0,GasA,3,1,SBrkr,525.0,567.0,0,1092.0,0.0,0.0,1,1,3,1,3,6,8,0,0,Detchd,1971.0,1,1.0,264.0,3,3,2,0,0,0,0,0,0,0,None,None,0,3,2010,WD,Family,88000,39.0,39
120,RL,53.0,4043.0,None,4,Lvl,Inside,3,NPkVill,Norm,Norm,TwnhsE,1Story,6,5,1977.0,1977,Gable,CompShg,Plywood,Plywood,None,0.0,3,3,CBlock,4,3,1,5,360.0,1,0.0,709.0,1069.0,GasA,3,1,SBrkr,1069.0,0.0,0,1069.0,0.0,0.0,2,0,2,1,3,4,8,1,2,Attchd,1977.0,2,2.0,440.0,3,3,2,0,55,0,0,0,0,0,None,None,0,7,2010,WD,Normal,127500,33.0,33
160,RL,30.0,2280.0,None,4,Lvl,FR2,3,NPkVill,Norm,Norm,Twnhs,2Story,6,6,1975.0,1975,Gable,CompShg,Plywood,Brk Cmn,None,0.0,3,3,CBlock,3,3,1,5,514.0,1,0.0,341.0,855.0,GasA,3,1,SBrkr,855.0,601.0,0,1456.0,0.0,0.0,2,1,3,1,4,6,8,1,3,Attchd,1975.0,1,2.0,440.0,3,3,2,173,0,0,0,0,0,0,None,None,0,6,2010,WD,Normal,149900,35.0,35
120,RL,30.0,2280.0,None,4,Lvl,FR2,3,NPkVill,Norm,Norm,Twnhs,1Story,7,6,1975.0,1975,Gable,CompShg,Plywood,Brk Cmn,None,0.0,3,3,CBlock,4,3,1,1,0.0,1,0.0,836.0,836.0,GasA,5,1,SBrkr,836.0,0.0,0,836.0,0.0,0.0,1,0,2,1,3,4,8,0,0,Attchd,1975.0,1,1.0,308.0,3,3,2,0,30,0,0,0,0,0,None,None,0,6,2010,WD,Normal,120000,35.0,35
160,RL,30.0,2280.0,None,4,Lvl,Inside,3,NPkVill,Norm,Norm,Twnhs,2Story,6,5,1978.0,1978,Gable,CompShg,Plywood,Brk Cmn,None,0.0,3,3,CBlock,4,3,1,5,311.0,1,0.0,544.0,855.0,GasA,2,1,SBrkr,855.0,601.0,0,1456.0,0.0,0.0,2,1,3,1,3,7,8,1,3,Attchd,1978.0,1,2.0,440.0,3,3,2,26,0,0,0,0,0,0,None,None,0,7,2010,WD,Normal,146000,32.0,32
60,RL,102.0,12858.0,None,3,Lvl,Inside,3,NridgHt,Norm,Norm,1Fam,2Story,9,5,2009.0,2010,Gable,CompShg,VinylSd,VinylSd,Stone,162.0,5,3,PConc,5,3,1,1,0.0,1,0.0,1590.0,1590.0,GasA,5,1,SBrkr,1627.0,707.0,0,2334.0,0.0,0.0,2,1,3,1,5,10,8,1,4,Attchd,2009.0,3,3.0,751.0,3,3,2,144,133,0,0,0,0,0,None,None,0,1,2010,New,Partial,376162,1.0,0
20,RL,98.0,11478.0,None,4,Lvl,Inside,3,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007.0,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,4,3,PConc,5,3,1,6,1218.0,1,0.0,486.0,1704.0,GasA,5,1,SBrkr,1704.0,0.0,0,1704.0,1.0,0.0,2,0,3,1,4,7,8,1,4,Attchd,2008.0,2,3.0,772.0,3,3,2,0,50,0,0,0,0,0,None,None,0,5,2010,WD,Normal,306000,3.0,2
20,RL,83.0,10159.0,None,3,Lvl,Inside,3,NridgHt,Norm,Norm,1Fam,1Story,9,5,2009.0,2010,Hip,CompShg,VinylSd,VinylSd,Stone,406.875,5,3,PConc,5,3,3,6,1646.0,1,0.0,284.0,1930.0,GasA,5,1,SBrkr,1940.0,0.0,0,1940.0,1.0,0.0,2,1,3,1,5,8,8,1,4,Attchd,2010.0,3,3.0,606.0,3,3,2,168,95,0,0,0,0,0,None,None,0,4,2010,New,Partial,395192,1.0,0
20,RL,94.0,12883.0,None,3,Lvl,Corner,3,NridgHt,Norm,Norm,1Fam,1Story,8,5,2009.0,2010,Gable,CompShg,VinylSd,VinylSd,Stone,256.0,4,3,PConc,4,3,1,1,0.0,1,0.0,1544.0,1544.0,GasA,5,1,SBrkr,1544.0,0.0,0,1544.0,0.0,0.0,2,0,3,1,4,7,8,0,0,Attchd,2009.0,2,3.0,868.0,3,3,2,0,35,0,0,0,0,0,None,None,0,6,2010,New,Partial,290941,1.0,0
20,RL,95.0,12182.0,None,4,Lvl,Corner,3,NridgHt,Norm,Norm,1Fam,1Story,7,5,2005.0,2005,Gable,CompShg,VinylSd,VinylSd,BrkFace,226.0,4,3,PConc,4,3,2,4,1201.0,1,0.0,340.0,1541.0,GasA,5,1,SBrkr,1541.0,0.0,0,1541.0,0.0,0.0,2,0,3,1,4,7,8,1,4,Attchd,2005.0,2,2.0,532.0,3,3,2,0,70,0,0,0,0,0,None,None,0,5,2010,New,Partial,220000,5.0,5
20,RL,90.0,11520.0,None,4,Lvl,Inside,3,NridgHt,PosN,Norm,1Fam,1Story,9,5,2005.0,2005,Hip,CompShg,VinylSd,VinylSd,BrkFace,406.875,4,3,PConc,5,3,1,6,110.0,1,0.0,1588.0,1698.0,GasA,5,1,SBrkr,1698.0,0.0,0,1698.0,0.0,0.0,2,0,3,1,5,7,8,1,4,Attchd,2005.0,3,3.0,730.0,3,3,2,192,74,0,0,0,0,0,None,None,0,6,2010,WD,Normal,275000,5.0,5
20,RL,79.0,14122.0,None,3,Lvl,Inside,3,NridgHt,Norm,Norm,1Fam,1Story,8,5,2005.0,2006,Hip,CompShg,CemntBd,CmentBd,BrkFace,240.0,4,3,PConc,5,3,1,6,28.0,1,0.0,1675.875,1822.0,GasA,5,1,SBrkr,1822.0,0.0,0,1822.0,0.0,0.0,2,0,3,1,5,8,8,1,4,Attchd,2005.0,2,3.0,678.0,3,3,2,0,119,0,0,0,0,0,None,None,0,2,2010,WD,Normal,259000,5.0,4
20,RL,70.0,10171.0,None,3,Lvl,Inside,3,NridgHt,Norm,Norm,1Fam,1Story,7,5,2004.0,2004,Gable,CompShg,VinylSd,VinylSd,BrkFace,168.0,4,3,PConc,4,3,1,6,2.0,1,0.0,1515.0,1517.0,GasA,5,1,SBrkr,1535.0,0.0,0,1535.0,0.0,0.0,2,0,3,1,4,7,8,0,0,Attchd,2004.0,2,2.0,532.0,3,3,2,0,0,0,0,0,0,0,None,None,0,3,2010,WD,Normal,214000,6.0,6
20,RL,100.0,12919.0,None,3,Lvl,Inside,3,NridgHt,Norm,Norm,1Fam,1Story,9,5,2009.0,2010,Hip,CompShg,VinylSd,VinylSd,Stone,406.875,5,3,PConc,5,3,4,6,1835.0,1,0.0,142.0,2064.25,GasA,5,1,SBrkr,2145.625,0.0,0,2364.0,1.0,0.0,2,1,2,1,5,11,8,2,4,Attchd,2009.0,3,3.0,820.0,3,3,2,0,67,0,0,0,0,0,None,None,0,3,2010,New,Partial,611657,1.0,0
120,RL,44.0,6371.0,None,3,Lvl,Inside,3,NridgHt,Norm,Norm,TwnhsE,1Story,7,5,2009.0,2010,Gable,CompShg,VinylSd,VinylSd,Stone,128.0,4,3,PConc,4,3,2,6,733.0,1,0.0,625.0,1358.0,GasA,5,1,SBrkr,1358.0,0.0,0,1358.0,1.0,0.0,2,0,2,1,4,6,8,1,4,Attchd,2010.0,2,2.0,484.0,3,3,2,192,35,0,0,0,0,0,None,None,0,6,2010,New,Partial,224000,1.0,0
20,RL,110.0,14300.0,None,4,HLS,Inside,2,NridgHt,Norm,Norm,1Fam,1Story,9,5,2003.0,2004,Hip,CompShg,VinylSd,VinylSd,BrkFace,406.875,5,3,PConc,5,3,4,6,1373.0,1,0.0,1473.0,2064.25,GasA,5,1,SBrkr,2145.625,0.0,0,2667.875,1.0,0.0,2,1,3,1,5,10,8,2,4,Attchd,2003.0,3,3.0,958.0,3,3,2,220,150,0,0,0,0,0,None,None,0,6,2010,WD,Normal,500000,7.0,6
60,RL,105.0,13650.0,None,4,Lvl,Corner,3,NridgHt,Norm,Norm,1Fam,2Story,8,5,2002.0,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,232.0,4,3,PConc,4,3,4,6,578.0,1,0.0,1093.0,1671.0,GasA,5,1,SBrkr,1687.0,563.0,0,2250.0,1.0,0.0,2,1,3,1,4,7,8,1,5,Attchd,2002.0,3,3.0,756.0,3,3,2,238,130,0,0,0,0,0,None,None,0,6,2010,WD,Normal,320000,8.0,8
120,RL,61.0,7658.0,None,4,Lvl,Inside,3,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005.0,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,406.875,5,3,PConc,5,3,1,6,456.0,1,0.0,1296.0,1752.0,GasA,5,1,SBrkr,1752.0,0.0,0,1752.0,1.0,0.0,2,0,2,1,5,6,8,1,4,Attchd,2005.0,2,2.0,576.0,3,3,2,196,82,0,0,0,0,0,None,None,0,2,2010,WD,Normal,319900,5.0,5
120,RL,41.0,7132.0,None,3,Lvl,Inside,3,NridgHt,Norm,Norm,TwnhsE,1Story,8,5,2006.0,2006,Gable,CompShg,VinylSd,VinylSd,Stone,178.0,4,3,PConc,4,3,2,6,24.0,1,0.0,1346.0,1370.0,GasA,5,1,SBrkr,1370.0,0.0,0,1370.0,0.0,0.0,2,0,2,1,4,6,8,1,4,Attchd,2006.0,2,2.0,484.0,3,3,2,120,49,0,0,0,0,0,None,None,0,4,2010,WD,Normal,205000,4.0,4
